Name,Category,Area,Organisation,Temporal event,Sub category,Summary,Adress,y,x,Website,Performance pop up_valuable,Performance pop up_threatened,Performance pop up_community,Creative edin pop up_valuable,Creative edin pop up_threatened,Creative edin pop up_community,Sculpture workshop pop up_valuable,Sculpture workshop pop up_risk,Sculpture workshop pop up_vcommunity,W1_T1_valuable,W1_T1_risk,W1_T1_community,W1_T2_valuable,W1_T2_risk,W1_T2_community,W1_T3_valuable,W1_T3_risk,W1_T3_community,W1_T4_valuable,W1_T4_risk,W1_T4_community,W2_T1_valuable,W2_T1_risk,W2_T1_community,W2_T2_valuable,W2_T2_risk,W2_T2_community,W3_valuable,W3_risk,W3_community,Pop uo_NEA_value,Pop uo_NEA_risk,Pop uo_NEA_community,Sum,Value,Risk,Community
Screen education,Digital,Filming,,,School,,"30 Ferry Rd Ave, Edinburgh EH4 4BA",55.969132,-3.24295,https://screen-ed.org/about/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2
Shelter Bookshop,Digital,Literature,,,Secondhand Bookshop,,106 Raeburn Place,55.95919,-3.21437,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Society of Antiquaries of Scotland ,Digital,Literature,,,Publisher,Academic and professional books and journals ,"C/o National Museums Scotland, Chambers Street, Edinburgh EH1 1JF",55.946788,-3.190455,www.socantscot.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Columba's Hospice Bookshop,Digital,Literature,,,Secondhand Bookshop,,15 Montagu Terrace,55.97064,-3.2085,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stewed Rhubarb Press ,Digital,Literature,,,Publisher,Scotland’s rst spoken-word poetry publisher ,"5 Crichton's Cl, Edinburgh EH8 8DT",55.951414,-3.178079,www.stewedrhubarb.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stirling Publishing ,Digital,Literature,,,Publisher,"Two imprints — YA Fiction, historical ction, fantasy/sci , horror, dark psychological ction, anthologies, poetry and ground breaking non- ction ","Davidson House, 10, 57 Queen Charlotte St, Edinburgh EH6 7EY",55.973456,-3.166088,www.stirlingpublishing.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROMA Films,Digital,Filming,Independent,,Independent production company,"We make films about artists, designers, musicians and makers. We make films about architecture, community and cultural heritage.  We collaborate with agencies, businesses, charities, galleries and museums to create dazzling campaigns, thought provoking exhibition films and online promos that reach audiences of all kinds.","8 Albany St, Edinburgh EH1 3QB",55.957106,-3.192994,stromafilms.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bookworm,Digital,Literature,,,Secondhand Bookshop,,210 Dalkeith Road,55.9331,-3.16596,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Edinburgh Book Shop,Digital,Literature,,,Bookshop,,"219 Bruntsfield Pl, Edinburgh EH10 4DH",55.934628,-3.209949,https://www.edinburghbookshop.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Gently Mad,Digital,Literature,,,Secondhand Bookshop,,2 Summer Place,55.9643,-3.20218,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Saltire Society ,Digital,Literature,,,Publisher,"Scottish/Gaelic interest, criticism, biography, law ","22 High St, Edinburgh EH1 1TF",55.95045,-3.184796,www.saltiresociety.org.uk ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Till's Bookshop,Digital,Literature,,,Secondhand Bookshop,,1 Hope Park Crescent,55.94125,-3.18304,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tribe porty,Digital,Creative Events,Independent,,Coworking space,,"19 Windsor Pl, Edinburgh EH15 2AJ",55.951371,-3.113312,https://tribeporty.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1
Vue,Digital,Filming,,Edinburgh International film festival,Cinema,,"Omni Leisure Building Greenside Place, 61/11 Leith St, Edinburgh EH1 3AU",55.956289,-3.185834,https://www.myvue.com/cinema/edinburgh-omni-centre/whats-on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbey Sanctuary ,Historic,,,,Landmark,,"Abbey Strand, Edinburgh EH8 8DU",55.952816,-3.173808,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cammo House,Historic,,,,Landmark,,,55.954172,-3.321422,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colinton Station and Tunnel (site of),Historic,,,,Landmark,,,55.907916,-3.259957,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corstorphine Dovecot,Historic,,,,Landmark,,"4 Dovecot Rd, Edinburgh EH12 7LE",55.939049,-3.281561,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corstorphine Hill Tower,Historic,,,,Landmark,,"Cairnmuir Rd, Edinburgh EH12 6UP",55.950961,-3.272346,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corstorphine Physic Well,Historic,,,,Landmark,,"12-5 Dunsmuir Ct, Edinburgh EH12 7TD",55.938754,-3.289068,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covenanters Memorial,Historic,,,,Landmark,,,55.90469,-3.238673,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craigentinny Marbles,Historic,,,,Landmark,,"3 Craigentinny Cres, Edinburgh EH7 6QA",55.956853,-3.136947,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Craigmillar Castle, castle and gardens",Historic,"Industrial: mines, quarries; Secular: castle",,,Monument,,"Craigmillar Castle Rd, Edinburgh EH16 4SY",55.925665,-3.140721,http://portal.historicenvironment.scot/designation/SM90129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Dalkeith Corn Exchange,Historic,,,,Landmark,,"200 High St, Dalkeith EH22 1AZ",55.896333,-3.067004,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryden Tower,Historic,,,,Landmark,,"Langhill Farm, Roslin EH25 9ST",55.869499,-3.168583,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eagle Rock,Historic,,,,Landmark,,Edinburgh EH4 6NY,55.982926,-3.308707,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edinburgh Meat Market,Historic,,,,Landmark,,"Port Hamilton, Edinburgh EH3 9QF",55.943875,-3.207154,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flodden Wall,Historic,,,,Landmark,,"1 Vennel, Edinburgh EH1 2HU",55.946231,-3.196802,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flodden Wall, Pleasance",Historic,,,,Landmark,,"26 Pleasance, Edinburgh EH8 9RW",55.948433,-3.182297,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granton Castle Walled Garden,Historic,,,,Landmark,,"23 W Shore Rd, Edinburgh EH5 1QB",55.982065,-3.242185,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,3,0,2
Hailes Halt (site of),Historic,,,,Landmark,,,55.914135,-3.259915,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter's Bog,Historic,,,,Landmark,,,55.947779,-3.165277,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innocent Railway Tunnel,Historic,,,,Landmark,,"Innocent Railway, Edinburgh EH16 5BQ",55.941435,-3.172119,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Clerk Maxwell statue,Historic,,,,Landmark,,"22-26 George St, Edinburgh EH2 2PQ",55.95399,-3.194488,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leith Citadel,Historic,,,,Landmark,,"Dock St, Edinburgh EH6 6HU",55.976925,-3.174901,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melville Monument,Historic,,,,Landmark,,"42 St Andrew Square, Edinburgh EH2 2AD",55.954222,-3.193139,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercat Cross,Historic,,,,Landmark,,"High St, Edinburgh EH1 1RF",55.949659,-3.190177,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchiston Tower,Historic,,,,Landmark,,"Colinton Rd, Edinburgh EH10 5DT",55.933335,-3.213887,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monument to Scottish Parliament,Historic,,,,Landmark,,"Regent Rd, Edinburgh EH7 5BL",55.954439,-3.17959,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newhailes Estate,Historic,,,,Landmark,,"Newhailes, Musselburgh EH21 6RY",55.939156,-3.079857,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Royal High School,Historic,,,,Building,,"New Parliament House, 5-7 Regent Rd, Edinburgh EH7 5BL",55.953611,-3.180255,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0
Old Tolbooth,Historic,,,,Building,,"W Parliament Square, Edinburgh EH1 1RN",55.949429,-3.191738,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0
Portobello Pottery Kilms,Historic,Heritage,,,Landmark,,"Harbour Road, Portobello",55.956507,-3.115424,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Slateford Aqueduct,Historic,Heritage,,,Monuments,,Slateford Road,55.923382,-3.249524,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
St Bernard's Well,Historic,,,,Landmark,,"MacKenzie Pl, Edinburgh EH3 6TS",55.955266,-3.211471,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St George's Well,Historic,,,,Landmark,,,55.953671,-3.21227,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Margaret's Chapel,Historic,,,,Landmark,,"Castle Terrace, Edinburgh EH1 2EL",55.948773,-3.200174,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statue to R L Stevenson,Historic,,,,Landmark,,,55.90858,-3.256256,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenhouse Mansion,Historic,,,,Landmark,,"3 Stenhouse Mill Ln, Edinburgh EH11 3LR",55.929539,-3.255645,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Gatehouse,Historic,,,,Landmark,,"Edinburgh Castle, Castlehill, Edinburgh EH1 2NG",55.94852,-3.198678,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Scotsman's Steps,Historic,,,,Landmark,,"20 North Bridge, Edinburgh EH1 1TR",55.951241,-3.188583,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Witches Well,Historic,,,,Landmark,,,55.94891,-3.196414,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Underground Vaults,Historic,,,,Landmark,,"28 Blair St, Edinburgh EH1 1QR",55.949209,-3.187295,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Well Court,Historic,,,,Landmark,,"Damside, Edinburgh EH4 3BB",55.952011,-3.217608,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Art and design,Library,,Council,,Library,"Exhibition space for local artists
Study space
Free wifi
Public computers
Scanner",7-9 George IV Bridge,55.94846,-3.192495,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balerno,Library,,Council,,Library,"Free wifi
Induction loop
Photocopier
Computers
Scanner
Hearing aid batteries
Food bin bags",1 Main Street,55.883899,-3.338458,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balgreen,Library,,Council,,Library,"Free wifi
Scanner",173 Balgreen Road,55.937721,-3.247924,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackhall,Library,,Council,,Library,"Free wifi
Self service
Photocopying
Scanner
Disabled access
Car park
Community room for hire
Library Link
Display/exhibition space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Out of hours book return
Induction loop
Photobooth",56 Hillhouse Road,55.961677,-3.261158,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central,Library,,Council,,Library,"Free wifi
Toilets",7-9 George IV Bridge,55.94846,-3.192495,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Children's,Library,,Council,,Library,Computer access for disabled persons,7-9 George IV Bridge,55.94855102,-3.192343712,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Lending,Library,,Council,,Library,"Free wifi
Self service",7-9 George IV Bridge,55.94857505,-3.192257881,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Library Mezzanine,Library,,Council,,Library,,"Central Library, George IV Bridge",55.94836209,-3.192313135,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colinton,Library,,Council,,Library,"Car park
Disabled access
Toilets
Toilets for disabled users
Baby changing facilities
Induction loop
Community room for hire (see below)
Exhibition space
Free wifi
Scanner
Gaming consoles
Photocopier
Library Link (Fridays at 1pm)
Home delivery service for housebound readers",14 Thorburn Road,55.906615,-3.25126,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corstorphine,Library,,Council,,Library,"Free wifi
Scanner
Self service
Our SPACE in the West (Supporting Parents and Carers in Edinburgh) Parent Information Point 
Disabled access
Library Link
Home delivery service for housebound readers
Induction loop
Photocopier",12 Kirk Loan,55.941932,-3.281522,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craigmillar,Library,,Council,Arts Festival,Library,"Free wifi
Scanner
Self Issue
Public Access Computers
Cafe
Baby Changing Facilities
Community Room for Hire (see below)
Toilets
Induction Loop
Gaming Consoles
Photocopier 
Fax
Library Link
Home delivery service for housebound readers
Disabled Access
Cycle Racks
Car Park
Accessible computer for visually impaired people
Book Trolley
Display/Exhibition Space",101 Niddrie Mains Road,55.9331448,-3.13696146,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Currie,Library,,Council,,Library,"Free wifi
Scanner
Car park
Disabled access
Community room for hire (see below)
Display/exhibition space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles
Photocopier
Currie & Balerno News archive
Local history displays from the Local History Society
Library Link",210 Lanark Road West,55.895716,-3.311398,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drumbrae Library Hub,Library,,Council,,Library,"Free wifi
Scanner
Self service
Access to Council services
Day care centre
Toilets
Baby changing
Full disabled access and lifts
Photocopier",81 Drum Brae Drive,55.95527881,-3.287143707,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edinburgh and Scottish Collection,Library,,Council,,Library,"Free wifi
Study space
Self issue
Photocopier",",7-9 George IV Bridge""",55.94847893,-3.192472458,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fountainbridge,Library,,Council,,Library,"Free wifi
Scanner
Disabled access
Community room for hire (see below)
Display/exhibition Space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Wheelchair
Induction loop
Home delivery service (within our boundary) to housebound readers
Learning Centre (12 computers) - please note that the computers are very busy on Monday afternoons and Tuesday and Friday mornings. 
Library Link
Photocopying",137 Dundee Street,55.940044,-3.218765,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilmerton,Library,,Council,,Library,"Free wifi
Scanner
Disabled access
Induction (hearing) loop
Car park
Community room for hire (see below)
Plasma screen
Library Link
Display/exhibition Space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles",13 Newtoft Street,55.905323,-3.134162,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0
Granton,Library,,Council,,Library,"Free wifi
Scanner
Disabled access
Library Link
Home delivery service for housebound readers
Toilets
Toilets for disabled users
Baby changing facilities
Induction loop
Photocopier",29 Wardieburn Terrace,55.976933,-3.224764,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirkliston,Library,,Council,,Library,"Free wifi
Scanner
Disabled access
Library Link
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles
Induction loop
Libraries 4U young people's section",16 Station Road,55.955263,-3.401527,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leith,Library,,Council,,Library,"Free wifi
Scanner
Self service
Disabled access
Disabled persons' parking place
Car park
Community room for hire (see below)
Library Link
Display/exhibition Space for public use
Wheelchairs
Family friendly accessible toilet",28-30 Ferry Road,55.975278,-3.180773,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0
McDonald Road,Library,,Council,,Library,"Free wifi
Scanner
Self service
Disabled access
Community Room for hire (see below)
Library Link
Toilets
Toilet for disabled users
Baby changing facilities
Induction loop
Community Connections - dedicated community information area",2 McDonald Road,55.962668,-3.183913,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0
Mobile Libraries,Library,,Council,,Library,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moredun,Library,,Council,,Library,"Free wifi
Scanner
Disabled access
Car park
Toilets
Toilets for disabled users
Baby changing facilities
Wheelchairs
Gaming consoles
Induction Loop
Photocopier",92 Moredun Park Road,55.913705,-3.134901,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0
Morningside Library ,Library,,Council,,Library,"Free wifi
Scanner
Self service
Disabled access
Community Rooms for hire (see below)
Toilets (including for disabled users)
Baby changing facilities
X Box 360 gaming console and PS4
Photocopier 
Plasma screen
Bookable art gallery - ask staff for details
Morningside Heritage Association display","184 Morningside Road, EH10 4PU",55.929017,-3.209807,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muirhouse,Library,,Council,,Library,"Free wifi
Scanner
Disabled access
Car park
Library Link
Community room for hire
Toilets
Toilets for disabled users
Baby changing facilities
Gaming consoles (PS3 and PS4)
Bookable learning centre with 10 PCs",15 Pennywell Court,55.97128,-3.253459,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Music,Library,,Council,,Library,,7-9 George IV Bridge,55.94846,-3.192495,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newington,Library,,Council,,Library,"Photocopier
Scanner
Toilet
Toilet for people with disabilities
Access for people with disabilities
Exhibition space",17-21 Fountainhall Road,55.93249,-3.179513,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxgangs,Library,,Council,,Library,"Free wifi
Scanner
Self service
Disabled access
Car park
Community room for hire (see below)
Display/exhibition space for public use
Toilets
Toilets for disabled users
Baby Changing facilities
Induction Loop",343 Oxgangs Road North,55.905359,-3.223403,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piershill,Library,,Council,,Library,"Free wifi
Scanner
Self service
Disabled access
Community room for hire (see below)
Plasma screen
Library Link
Photocopier
Display/exhibition space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Wheelchairs
Induction Loop
Photobooth",30 Piersfield Terrace,55.955079,-3.142552,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portobello,Library,,Council,,Library,"Free wifi
Scanner
Self service
Disabled access
Library Link
Home delivery service for housebound readers
Community room for hire (see below)
Toilets
Toilets for disabled users (via lift)
Baby changing facilities
X-box, Wii and Playstation gaming consoles
Photocopier, printer
Plasma screen
Bookable gallery area - ask staff for details",14 Rosefield Avenue,55.952702,-3.117691,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ratho,Library,,Council,Arts Festival,Library,"Free wifi and internet access
Scanner
Disabled access
Car park
Display/exhibition Space for public use
Library Link
Toilets
Toilets for disabled users
Baby changing facilities
Printer
Photocopier
Fax
Bicycle rack","6 School Wynd, Ratho",55.922159,-3.380851,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reference Library,Library,,Council,,Library,"Free wifi
Computer access
Scanner
Study space",7-9 George IV Bridge,55.94856304,-3.192526102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resource,Library,,Council,,Library,,7-9 George IV Bridge,55.94846,-3.192495,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Poetry Library,Library,,,,Library,,"5 Crichton's Cl, Edinburgh EH8 8DT",55.951427,-3.178054,https://www.scottishpoetrylibrary.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Sighthill,Library,,Council,,Library,"Free wifi and internet access
Scanner
Disabled access
Library Link
Home delivery service for housebound readers
Toilets 
Toilets for disabled users
Photocopying
Cycle Racks
Baby changing
Printer
Booksale trolley",55 Sighthill Road,55.92094285,-3.287422657,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
